rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://github.com/ahkimn,21,1099,378,1977,975,878,597,snapshot_2026_03_31.json,snapshot_2026_03_28.json
2,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,543,237,2297,1887,1754,1650,snapshot_2026_03_31.json,snapshot_2026_03_28.json
3,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,rslurry,https://github.com/rslurry,16,526,225,1058,658,532,433,snapshot_2026_03_31.json,snapshot_2026_03_28.json
4,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,1,507,507,1431,1431,924,924,snapshot_2026_03_31.json,snapshot_2026_03_28.json
5,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,459,459,936,936,477,477,snapshot_2026_03_31.json,snapshot_2026_03_28.json
6,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,14,348,149,705,411,357,262,snapshot_2026_03_31.json,snapshot_2026_03_28.json
7,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,248,142,507,401,259,259,snapshot_2026_03_31.json,snapshot_2026_03_28.json
8,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,248,206,441,399,193,193,snapshot_2026_03_31.json,snapshot_2026_03_28.json
9,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,Gio1112,https://github.com/Gio1112,1,234,234,522,522,288,288,snapshot_2026_03_31.json,snapshot_2026_03_28.json
10,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,216,146,419,349,203,203,snapshot_2026_03_31.json,snapshot_2026_03_28.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,crumpetime,https://github.com/crumpetime,1,156,156,444,444,288,288,snapshot_2026_03_31.json,snapshot_2026_03_28.json
12,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,123,73,275,225,152,152,snapshot_2026_03_31.json,snapshot_2026_03_28.json
13,nzh0172/sb-anymoney,sb-anymoney,nzh0172,nzh0172,https://github.com/nzh0172,1,122,122,236,236,114,114,snapshot_2026_03_31.json,snapshot_2026_03_28.json
14,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,109,45,239,175,130,130,snapshot_2026_03_31.json,snapshot_2026_03_28.json
15,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,crumpetime,https://github.com/crumpetime,1,105,79,322,296,217,217,snapshot_2026_03_31.json,snapshot_2026_03_28.json
16,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,99,99,197,197,98,98,snapshot_2026_03_31.json,snapshot_2026_03_28.json
17,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,91,91,162,162,71,71,snapshot_2026_03_31.json,snapshot_2026_03_28.json
18,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://github.com/ahkimn,1,89,89,427,427,338,338,snapshot_2026_03_31.json,snapshot_2026_03_28.json
19,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,82,82,389,389,307,307,snapshot_2026_03_31.json,snapshot_2026_03_28.json
20,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,82,64,155,137,73,73,snapshot_2026_03_31.json,snapshot_2026_03_28.json
21,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,4,78,78,78,78,0,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
22,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,70,2,122,43,52,41,snapshot_2026_03_31.json,snapshot_2026_03_28.json
23,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,crumpetime,https://github.com/crumpetime,1,69,9,104,44,35,35,snapshot_2026_03_31.json,snapshot_2026_03_28.json
24,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,67,11,92,36,25,25,snapshot_2026_03_31.json,snapshot_2026_03_28.json
25,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,crumpetime,https://github.com/crumpetime,1,65,6,85,26,20,20,snapshot_2026_03_31.json,snapshot_2026_03_28.json
26,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,60,15,112,29,52,14,snapshot_2026_03_31.json,snapshot_2026_03_28.json
27,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,54,7,81,22,27,15,snapshot_2026_03_31.json,snapshot_2026_03_28.json
28,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,52,4,72,13,20,9,snapshot_2026_03_31.json,snapshot_2026_03_28.json
29,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,nzh0172,https://github.com/nzh0172,1,50,11,66,27,16,16,snapshot_2026_03_31.json,snapshot_2026_03_28.json
30,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,47,5,71,12,24,7,snapshot_2026_03_31.json,snapshot_2026_03_28.json
31,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,44,3,53,11,9,8,snapshot_2026_03_31.json,snapshot_2026_03_28.json
32,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,43,0,58,0,15,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
33,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,crumpetime,https://github.com/crumpetime,1,41,0,55,0,14,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
34,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,41,0,50,0,9,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
35,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,0,59,0,19,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
36,crumpetime/sb-maps-las,sb-maps-las,crumpetime,crumpetime,https://github.com/crumpetime,1,28,22,52,46,24,24,snapshot_2026_03_31.json,snapshot_2026_03_28.json
37,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,15,12,21,18,6,6,snapshot_2026_03_31.json,snapshot_2026_03_28.json
38,pswbsf/dayton-oh,dayton-oh,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
39,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
40,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,6,6,6,6,0,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
41,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,0,0,0,0,0,snapshot_2026_03_31.json,snapshot_2026_03_28.json
